name,country,discipline
Artur ALEKSANYAN,Armenia,['Wrestling']
Malkhas AMOYAN,Armenia,['Wrestling']
Slavik GALSTYAN,Armenia,['Wrestling']
Arsen HARUTYUNYAN,Armenia,['Wrestling']
Vazgen TEVANYAN,Armenia,['Wrestling']
Lorena ARENAS,Colombia,['Athletics']
Ashley McKENZIE,Jamaica,['Judo']
Gina Mariam BASS BITTAYE,Gambia,['Athletics']
Ebrahima CAMARA,Gambia,['Athletics']
Lizeth RUEDA SANTOS,Mexico,['Triathlon']
Rosa Maria TAPIA VIDAL,Mexico,['Triathlon']
Crisanto GRAJALES,Mexico,['Triathlon']
Hachim MAAROUFOU,Comoros,['Athletics']
Maesha SAADI,Comoros,['Swimming']
Nuria DIOSDADO,Mexico,['Artistic Swimming']
Joana JIMENEZ,Mexico,['Artistic Swimming']
Jessica SOBRINO,Mexico,['Artistic Swimming']
Regina ALFEREZ,Mexico,['Artistic Swimming']
Fernanda ARELLANO,Mexico,['Artistic Swimming']
Pamela TOSCANO,Mexico,['Artistic Swimming']
Itzamary GONZALEZ,Mexico,['Artistic Swimming']
Samanta RODRIGUEZ,Mexico,['Artistic Swimming']
Glenda INZUNZA,Mexico,['Artistic Swimming']
Sajjad SEHEN,Iraq,['Judo']
Ali Ammar Yusur RUBAIAWI,Iraq,['Weightlifting']
Mohamed ISMAIL,Djibouti,['Athletics']
Ibrahim HASSAN,Djibouti,['Athletics']
Abdi WAISS,Djibouti,['Athletics']
Samiyah HASSAN NOUR,Djibouti,['Athletics']
Houmed HOUSSEIN BARKAT,Djibouti,['Swimming']
Andy BARAT,Comoros,['Canoe Slalom']
Miguel Angel MARTINEZ RAMIREZ,Mexico,['Boxing']
Marco Alonso VERDE ALVAREZ,Mexico,['Boxing']
Alegna GONZALEZ,Mexico,['Athletics']
Jesus Tonatiu LOPEZ,Mexico,['Athletics']
Erick PORTILLO,Mexico,['Athletics']
Uziel MUNOZ,Mexico,['Athletics']
Diego del REAL,Mexico,['Athletics']
Jose Luis DOCTOR,Mexico,['Athletics']
Paola MORAN,Mexico,['Athletics']
Laura GALVAN,Mexico,['Athletics']
Alma Delia CORTES,Mexico,['Athletics']
Citlali CRISTIAN MOSCOTE,Mexico,['Athletics']
Ever Jair PALMA OLIVARES,Mexico,['Athletics']
Elena OETLING RAMIREZ,Mexico,['Sailing']
