name,function,country,discipline
PEDRERO Ofelia,Coach,Mexico,Artistic Swimming
RADHI SHENAISHIL,Head Coach,Iraq,Football
AFLAKIKHAMSEH Majid,Coach,IR Iran,Taekwondo
YOUSEFY Mehrdad,Coach,IR Iran,Taekwondo
MADDAH Minoo,Coach,IR Iran,Taekwondo
LOFTUS Adriana,Coach,Mexico,Artistic Swimming
FERRARA Fernando,Head Coach,Argentina,Hockey
GULLA Alejandra,Assistant Coach,Argentina,Hockey
CAPURRO Santiago,Assistant Coach,Argentina,Hockey
RONCONI Mariano,Head Coach,Argentina,Hockey
PAULON Ezequiel,Assistant Coach,Argentina,Hockey
VILA Matias,Assistant Coach,Argentina,Hockey
KHEIRKHAH HAJIRASOULIAN Mohammadre.,Coach,IR Iran,Artistic Gymnastics
DAVIS DIAZ David,Coach,Mexico,Taekwondo
MENDOZA MORA Abel,Coach,Mexico,Taekwondo
VICTORIA ESPINOSA de los Alfonso,Coach,Mexico,Taekwondo
MILANO Guillermo,Head Coach,Argentina,Handball
GOMEZ CORA Santiago,Head Coach,Argentina,Rugby Sevens
GRAVANO Leonardo,Assistant Coach,Argentina,Rugby Sevens
FILIORIANU Ana Luiza,Coach,Romania,Rhythmic Gymnastics
SMAILI Badr,Coach,Morocco,Taekwondo
OCEGUERA ORNELAS Pavel,Coach,Mexico,Artistic Gymnastics
VALENZUELA GOMEZ Maria,Coach,Mexico,Artistic Gymnastics
MEZA PADILLA Jose,Coach,Mexico,Artistic Gymnastics
AGUILAR ROJAS Blajaith,Coach,Mexico,Rhythmic Gymnastics
FURALEV Vladislav,Coach,Mexico,Rhythmic Gymnastics
UPTON Patrick Anthony Howard,Coach,India,Hockey
SCHOPMAN Johanna Dorothea Maria,Coach,India,Hockey
HALKETT Rhett Kennedy,Assistant Coach,India,Hockey
FULTON Craig Arthur,Head Coach,India,Hockey
FARRY Anthony James,Coach,India,Hockey
THORPE Karen,Coach,Great Britain,Artistic Swimming
TOMOMATSU Yumiko,Coach,Great Britain,Artistic Swimming
CURRAN Orlaith,Assistant Coach,Ireland,Rugby Sevens
NASKAR Arup,Coach,India,Hockey
CHINNASAMY Ashok Kumar,Coach,India,Hockey
BUSNARI Alberto,Coach,Italy,Artistic Gymnastics
COCCIARO Giuseppe,Coach,Italy,Artistic Gymnastics
FORTUNA Marco,Coach,Italy,Artistic Gymnastics
BERGAMELLI Monica Roberta,Coach,Italy,Artistic Gymnastics
CHIRILCENCO Marc Michel,Coach,Algeria,Artistic Gymnastics
HAMICI Saad Eddine,Coach,Algeria,Artistic Gymnastics
HERRANZ MARTIN Miguel Angel,Coach,Spain,Taekwondo
RAMAL MUNOZ Jesus,Coach,Spain,Taekwondo
SEIJO GIEBELS Christian Jaime,Coach,Spain,Taekwondo
TOLEDO AROCA Antonio,Coach,Spain,Taekwondo
YAGUE ENRIQUE Brigida,Coach,Spain,Taekwondo
JONES Gilmar,Coach,Suriname,Taekwondo
DIMITROVA Vesela,Coach,Bulgaria,Rhythmic Gymnastics
STOYNEVA Yasena,Coach,Bulgaria,Rhythmic Gymnastics
MARKOVA Branimira,Coach,Bulgaria,Rhythmic Gymnastics
PAMUKOVA Mariyana,Coach,Bulgaria,Rhythmic Gymnastics
IVANOVA Valentina,Coach,Bulgaria,Rhythmic Gymnastics
LEE Eui Yong,Coach,Gambia,Taekwondo
ARILL Samuel,Assistant Coach,Puerto Rico,Basketball
MORALES OTERO Carlos,Assistant Coach,Puerto Rico,Basketball
BATISTA Gerardo,Coach,Puerto Rico,Basketball
COTUTIU Florin,Coach,Romania,Artistic Gymnastics
JONES Daymon,Coach,Romania,Artistic Gymnastics
KIENS Patrick,Coach,Romania,Artistic Gymnastics
MOROSAN Corina,Coach,Romania,Artistic Gymnastics
VOINEA Camelia,Coach,Romania,Artistic Gymnastics
BERBECAR Marius,Coach,Romania,Artistic Gymnastics
LIU Tsung-Ta,Coach,Chinese Taipei,Taekwondo
GEORGALLAS Irodotos,Coach,Cyprus,Artistic Gymnastics
PETRIDIS Panagiotis,Coach,Cyprus,Artistic Gymnastics
FLANNERY Eimear,Assistant Coach,Ireland,Rugby Sevens
SHIPPI Panayiotis,Coach,Cyprus,Artistic Gymnastics
TRIKOMITI Chrystalleni,Coach,Cyprus,Rhythmic Gymnastics
DEACU George,Assistant Coach,Romania,Water Polo
RATH Bogdan,Head Coach,Romania,Water Polo
ARIAS Ramon,Coach,Chile,Taekwondo
WIBERG Johanna,Assistant Coach,Sweden,Handball
FORSBERG Thomas,Assistant Coach,Sweden,Handball
AXNER Tomas,Head Coach,Sweden,Handball
DIOVOL Alioune,Coach,Senegal,Taekwondo
da ROCHA Cristiano,Head Coach,Brazil,Handball
ALTENBURG Valentin,Head Coach,Germany,Hockey
HENNING Andre,Head Coach,Germany,Hockey
SCHMITZ Johannes,Assistant Coach,Germany,Hockey
ARKELL Robin,Coach,Germany,Hockey
GADEMAN Pasha,Assistant Coach,Germany,Hockey
WEIDINGER Markus,Coach,Austria,Taekwondo
SOLBERG Glenn,Head Coach,Sweden,Handball
SVENSSON Tomas,Assistant Coach,Sweden,Handball
APELGREN Michael,Assistant Coach,Sweden,Handball
TANKOUCHEV Milko,Coach,Bulgaria,Artistic Gymnastics
YANEV Filip,Coach,Bulgaria,Artistic Gymnastics
WINIARSKI Michal,Head Coach,Germany,Volleyball
RANNER Thomas,Assistant Coach,Germany,Volleyball
POSMYK Dominik,Assistant Coach,Germany,Volleyball
SALLAH Mariama M.,Coach,Gambia,Taekwondo
TUMILTY Mark,Head Coach,Ireland,Hockey
TOTH Balazs,Coach,Germany,Taekwondo
QUSAI MUNIR,Assistant Coach,Iraq,Football
CRUZ LOPEZ Jose L,Assistant Coach,Puerto Rico,Basketball
COLON Nelson,Coach,Puerto Rico,Basketball
CRUZ Rafael,Assistant Coach,Puerto Rico,Basketball
BESHEER Gamal,Coach,Egypt,Artistic Gymnastics
MOHAMED Ahmed,Coach,Egypt,Artistic Gymnastics
ABDELMEGUID Zakaria,Coach,Egypt,Artistic Gymnastics
MOHAMED Mayar,Coach,Egypt,Rhythmic Gymnastics
HUSSEIN Noha,Coach,Egypt,Rhythmic Gymnastics
MOUNDOUNGA KOMBILA Stephane,Coach,Gabon,Taekwondo
MLADENOVA Albena,Coach,Austria,Artistic Swimming
AL-ASSAF Faris,Coach,Jordan,Taekwondo
ALSADEQ Yazan,Coach,Jordan,Taekwondo
ALJALLAD Riham,Coach,Jordan,Taekwondo
KRAVCHENKO Sergiy,Assistant Coach,Ukraine,Football
ROTAN Ruslan,Head Coach,Ukraine,Football
SIREKANYAN Gurgen,Coach,Jordan,Artistic Gymnastics
FREHSE Gabriele,Coach,Austria,Artistic Gymnastics
SAHIN Ali,Coach,Türkiye,Taekwondo
TAZEGUL Servet,Coach,Türkiye,Taekwondo
BABEL Vincent,Coach,Suriname,Taekwondo
GOKTEKIN Yilmaz,Coach,Türkiye,Artistic Gymnastics
NURI Tufan,Coach,Türkiye,Artistic Gymnastics
GOJKOVIC Vladimir,Head Coach,Montenegro,Water Polo
TOMAS Toni,Coach,Great Britain,Taekwondo
LAURA Veljko,Coach,Croatia,Taekwondo
MESAROV Dejan,Coach,Croatia,Taekwondo
GALAMBOS Bence,Coach,Hungary,Taekwondo
MARTON Luana,Coach,Hungary,Taekwondo
SALIM Gergely,Coach,Hungary,Taekwondo
SALIM Sharif Gergely,Coach,Hungary,Taekwondo
MIKKONEN Suvi,Coach,Hungary,Taekwondo
ROUSSEAUX Emile,Head Coach,France,Volleyball
ANDRE Felix,Assistant Coach,France,Volleyball
GAUTHIER Charles,Assistant Coach,France,Volleyball
TOUPANE Jean Aime,Coach,France,Basketball
MELAIN Catherine,Assistant Coach,France,Basketball
GAUTIER David,Assistant Coach,France,Basketball
HALIN Gregory,Coach,France,Basketball
LEONARD Christophe,Coach,France,Basketball
COLLET Vincent,Coach,France,Basketball
DONNADIEU Pascal,Assistant Coach,France,Basketball
ATKINSON Kenny,Assistant Coach,France,Basketball
NELHOMME Ruddy,Coach,France,Basketball
GOMIS Joseph,Coach,France,Basketball
CIAMARRA Roberto,Assistant Coach,France,Volleyball
GEILER Loic,Assistant Coach,France,Volleyball
GIANI Andrea,Head Coach,France,Volleyball
WENG Shih-Hang,Coach,Chinese Taipei,Artistic Gymnastics
TSAI Heng-Cheng,Coach,Chinese Taipei,Artistic Gymnastics
SANTARELLI Daniele,Head Coach,Türkiye,Volleyball
FLISI Diego,Assistant Coach,Türkiye,Volleyball
ZOTTA Andrea,Assistant Coach,Türkiye,Volleyball
VATANSEVER Recep,Assistant Coach,Türkiye,Volleyball
DARET Jerome,Head Coach,France,Rugby Sevens
KRUMBHOLZ Olivier,Head Coach,France,Handball
GARDILLOU Sebastien,Assistant Coach,France,Handball
LEYNAUD Amandine,Assistant Coach,France,Handball
GALKIN Evgeniy,Coach,Uzbekistan,Artistic Gymnastics
ABDUSAMATOV Khusniddin,Coach,Uzbekistan,Artistic Gymnastics
MWEMA Kevin,Head Coach,Kenya,Rugby Sevens
AMONDE Andrew,Assistant Coach,Kenya,Rugby Sevens
KISIA Louis,Assistant Coach,Kenya,Rugby Sevens
HRUBESCH Horst,Head Coach,Germany,Football
CARLSON Britta,Assistant Coach,Germany,Football
FUCHS Michael,Goalkeeper Coach,Germany,Football
NOERENBERG Thomas,Assistant Coach,Germany,Football
MUKHAMEDOVA Rano,Coach,Uzbekistan,Rhythmic Gymnastics
VLASOVA Liliya,Coach,Uzbekistan,Rhythmic Gymnastics
KHAN Pavel,Coach,Uzbekistan,Taekwondo
RAFALOVICH Maksim,Coach,Uzbekistan,Taekwondo
KHAN Vladimir,Coach,Uzbekistan,Taekwondo
BAYKUZIYEV Jasur,Coach,Uzbekistan,Taekwondo
PAKKAN Saim,Assistant Coach,Serbia,Volleyball
NISHIIRI Toshihiro,Goalkeeper Coach,Japan,Football
IKEDA Futoshi,Head Coach,Japan,Football
MIYAMOTO Tomomi,Assistant Coach,Japan,Football
MENEZES Jude,Head Coach,Japan,Hockey
OZAWA Kazuyuki,Assistant Coach,Japan,Hockey
ERSIMSEK Ahmetcan,Assistant Coach,Serbia,Volleyball
ROTHMAN Neville,Assistant Coach,Ireland,Hockey
GELLE Noemi Katalin,Coach,Hungary,Rhythmic Gymnastics
NAGANUMA Atsushi,Assistant Coach,Japan,Water Polo
HAZUI Shota,Assistant Coach,Japan,Water Polo
SHIOTA Yoshinori,Head Coach,Japan,Water Polo
KAWAI Mayo,Coach,Japan,Artistic Swimming
KASHIMA Tomoyo,Coach,Japan,Artistic Swimming
NAKAJIMA Takako,Coach,Japan,Artistic Swimming
KAPADZE Timur,Head Coach,Uzbekistan,Football
CHIGODAEV Sergey,Assistant Coach,Uzbekistan,Football
GILLE Guillaume,Head Coach,France,Handball
MATHE Erick,Assistant Coach,France,Handball
ALONSO TAPIA Rosendo,Coach,France,Taekwondo
ALONSO TAPIA Gulsah,Coach,France,Taekwondo
JUNG Woomin,Coach,France,Taekwondo
WILLE Jonas,Head Coach,Norway,Handball
EGE Steinar,Assistant Coach,Norway,Handball
BOQUIST Martin,Assistant Coach,Norway,Handball
OLSSON Mats,Assistant Coach,Norway,Handball
HERGEIRSSON Thorir,Head Coach,Norway,Handball
LARSEN Tonje,Assistant Coach,Norway,Handball
JOERGENSEN Michael,Coach,Norway,Taekwondo
DRASOCZKY Imre,Coach,Hungary,Artistic Gymnastics
BRUUN Michael,Assistant Coach,Denmark,Handball
JOERGENSEN Lars,Assistant Coach,Denmark,Handball
KRONBORG Henrik,Assistant Coach,Denmark,Handball
JACOBSEN Nikolaj,Head Coach,Denmark,Handball
JENSEN Jesper,Head Coach,Denmark,Handball
SOYEZ Frederic,Head Coach,France,Hockey
SALA Ramon,Assistant Coach,France,Hockey
LOMBI Jorge,Assistant Coach,France,Hockey
SZUCS Robert,Coach,Hungary,Artistic Gymnastics
TRENKA Janos,Coach,Hungary,Artistic Gymnastics
HARVEY Mike,Coach,Great Britain,Taekwondo
MAIZEROI Torann,Coach,Great Britain,Taekwondo
MILLER Nelson,Coach,Great Britain,Taekwondo
STAMPER Martin,Coach,Great Britain,Taekwondo
POLJAKOVA Shanna,Coach,Germany,Artistic Gymnastics
BELENKI Valeri,Coach,Germany,Artistic Gymnastics
CATANOIU Grigore,Coach,Germany,Artistic Gymnastics
BRYLOK Hubert,Coach,Germany,Artistic Gymnastics
TEMME Kay,Coach,Germany,Artistic Gymnastics
PFEFFER Camilla,Coach,Germany,Rhythmic Gymnastics
RASKINA Yuliya,Coach,Germany,Rhythmic Gymnastics
CAMICIOTTI Giacomo,Coach,Germany,Artistic Gymnastics
DUNAVSKA MINEKOVA Kameliya,Coach,Germany,Rhythmic Gymnastics
PARECKI Antoni Jerzy,Assistant Coach,Japan,Handball
SNYMAN Philip,Head Coach,South Africa,Rugby Sevens
LUCKAN Ghafoer,Assistant Coach,South Africa,Rugby Sevens
GONZALEZ NUNEZ Arlen,Coach,Cuba,Taekwondo
SHARABI Yechiam,Coach,Israel,Taekwondo
BLECHER SIDOROVA Svetlana,Coach,Israel,Artistic Swimming
ABDELRAHMAN Osama,Coach,Egypt,Taekwondo
YOUSSEF Mohamed,Coach,Egypt,Taekwondo
ZAITSEVA Olesia,Coach,Ukraine,Artistic Swimming
SARTYNSKYI Gennadii,Coach,Ukraine,Artistic Gymnastics
GORBACHEVA Iryna,Coach,Ukraine,Artistic Gymnastics
KAIUKOVA Iuliia,Coach,Ukraine,Artistic Gymnastics
DERYUGINA Iryna,Coach,Ukraine,Rhythmic Gymnastics
BLOKHINA Iryna,Coach,Ukraine,Rhythmic Gymnastics
KARDASH Maryna,Coach,Ukraine,Rhythmic Gymnastics
VASYLIEVA Marharyta,Coach,Ukraine,Rhythmic Gymnastics
KHOLOD Maryna,Coach,New Zealand,Artistic Swimming
RA Sanghyun,Coach,Fiji,Taekwondo
KIM Hyou Mi,Coach,Korea,Artistic Swimming
ROSILLO ATENCIA Jose Antonio,Coach,Norway,Taekwondo
LAI Yawen,Assistant Coach,China,Volleyball
HERBERT Gordie,Coach,Germany,Basketball
THOMAIDIS Lisa,Coach,Germany,Basketball
PARSONS Sidney,Assistant Coach,Germany,Basketball
MEADOWS Clarissa,Assistant Coach,Germany,Basketball
THUSS Anne,Coach,Germany,Basketball
PERWAS Klaus,Assistant Coach,Germany,Basketball
BRIELMEIER Bret,Coach,Germany,Basketball
HERBERT Daniel,Assistant Coach,Germany,Basketball
REVINGTON Paul,Head Coach,Great Britain,Hockey
BROWNE Kwan,Coach,Great Britain,Hockey
GLYNN Katie,Assistant Coach,Great Britain,Hockey
HICKMAN Mark,Coach,Great Britain,Hockey
PAUL Jody,Coach,Great Britain,Hockey
RALPH David,Head Coach,Great Britain,Hockey
SIEBEN Craig,Coach,Great Britain,Hockey
GRESKOWIAK Arne,Coach,Germany,Basketball
HOLGUIN Ramon,Coach,Dominican Republic,Artistic Gymnastics
WUDTKE Erik,Assistant Coach,Germany,Handball
BEPPLER Jochen,Assistant Coach,Germany,Handball
ANDERSSON Mattias,Assistant Coach,Germany,Handball
GISLASON Alfred,Head Coach,Germany,Handball
GAUGISCH Markus,Head Coach,Germany,Handball
JANKOVIC Jasmina,Assistant Coach,Germany,Handball
HENRY Thierry,Head Coach,France,Football
BATICLE Gerald,Assistant Coach,France,Football
CLICHY Gael,Assistant Coach,France,Football
JANOT Jeremie,Goalkeeper Coach,France,Football
PEREIRA BRAVO Joao,Assistant Coach,Canada,Volleyball
SAMMELVUO Tuomas,Head Coach,Canada,Volleyball
HAWKINS Michael,Assistant Coach,Canada,Volleyball
ZHENG Wei,Coach,China,Basketball
JIA Nan,Coach,China,Basketball
PARK Myungsoo,Assistant Coach,China,Basketball
RUPEREZ Cesar,Assistant Coach,China,Basketball
USUI Tomohiro,Coach,Japan,Basketball
KONNO Kakeru,Assistant Coach,Japan,Basketball
SUZUKI Yoshikazu,Assistant Coach,Japan,Basketball
